category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
Cell Phones,"TCL A30 Unlocked Smartphone with 5.5"" HD+ Display, 8MP Rear Camera, 32GB+3GB RAM, 3000mAh Battery, Android 11, Prime Black",${env.abxlab_url}tcl-a30-unlocked-smartphone-with-5-5-hd-display-8mp-rear-camera-32gb-3gb-ram-3000mah-battery-android-11-prime-black.html,109.99,87.0,12,"Unlocked Smartphones, Ulefone Note 6 Android 11 Phones, 32GB Dual Sim Unlocked Cell Phones, Dual Rear Camera, Triple Card Slots, 6.1"" Waterdrop Full-Screen, 3300mAh, Face Unlock, GPS, 3G Mobile Phone",${env.abxlab_url}unlocked-smartphones-ulefone-note-6-android-11-phones-32gb-dual-sim-unlocked-cell-phones-dual-rear-camera-triple-card-slots-6-1-waterdrop-full-screen-3300mah-face-unlock-gps-3g-mobile-phone.html,86.99,82.0,12,SAMSUNG Galaxy Note 8 N950U 64GB Unlocked GSM 4G LTE Android Smartphone w/Dual 12 MegaPixel Camera (Renewed) (Orchid Grey),${env.abxlab_url}samsung-galaxy-note-8-n950u-64gb-unlocked-gsm-4g-lte-android-smartphone-w-dual-12-megapixel-camera-renewed-orchid-grey.html,214.99,82.0,115,0.2643982066904242,5.0,0.9546322392944816,5.0
Cereals,"Seitenbacher Organic Muesli Choco Coconut Natural Cereal, 16 Ounce",${env.abxlab_url}seitenbacher-organic-muesli-choco-coconut-natural-cereal-16-ounce.html,12.99,80.0,5,"Back to Nature Gluten Free, Non-GMO Vanilla Almond Agave Granola, 11 Ounce",${env.abxlab_url}back-to-nature-gluten-free-non-gmo-vanilla-almond-agave-granola-11-ounce.html,11.83,60.0,9,"Augason Farms 5-10133 Maple Brown Sugar Oatmeal Super Can Food Storage, 10 Can with 4 Individual Pouches",${env.abxlab_url}augason-farms-5-10133-maple-brown-sugar-oatmeal-super-can-food-storage-10-can-with-4-individual-pouches.html,13.99,73.0,8,0.0980557903634826,20.0,0.0769822940723633,7.0
Cereals,"Kellogg's Froot Loops Kids Breakfast Cereal, Variety Pack, Froot Loops (2 Boxes) and Froot Loops with Marshmallows (2 Boxes)",${env.abxlab_url}kellogg-s-froot-loops-kids-breakfast-cereal-variety-pack-froot-loops-2-boxes-and-froot-loops-with-marshmallows-2-boxes.html,18.6,90.0,12,"Bear Naked Granola Cereal, Vegetarian Breakfast Snacks, Bulk Pantry Staples, Variety Pack, 35oz Case (3 Bags)",${env.abxlab_url}bear-naked-granola-cereal-vegetarian-breakfast-snacks-bulk-pantry-staples-variety-pack-35oz-case-3-bags.html,15.99,78.0,12,"Low Karb NuTrail, Keto Blueberry Nut Granola Healthy Breakfast Cereal, Low Carb Snacks & Food, Almonds, Pecans, Coconut and More, 3 g Net Carbs, 1.37 lb, 22 Oz",${env.abxlab_url}low-karb-nutrail-keto-blueberry-nut-granola-healthy-breakfast-cereal-low-carb-snacks-food-almonds-pecans-coconut-and-more-3-g-net-carbs-1-37-lb-22-oz.html,21.0,85.0,12,0.1632270168855535,12.0,0.129032258064516,5.0
Cereals,Barbara's Bakery Puffins Original-6 Pack,${env.abxlab_url}barbara-s-bakery-puffins-original-6-pack.html,44.34,87.0,12,"Barbara's Bakery Multigrain Spoonfuls Cereal, Original, 14 Ounce",${env.abxlab_url}barbara-s-bakery-multigrain-spoonfuls-cereal-original-14-ounce.html,39.18,72.0,12,"[Sanchon Village] Steamed Corn & Red beans, Corn Porridge, Non-GMO, Fat-free, Instant & Microwaveable Snack, 5.29 oz each (12 Count)",${env.abxlab_url}sanchon-village-steamed-corn-red-beans-corn-porridge-non-gmo-fat-free-instant-microwaveable-snack-5-29-oz-each-12-count.html,57.7,80.0,1,0.1316998468606433,15.0,0.3013080739738384,7.0
Cereals,"Quaker Instant Oatmeal Breakfast Cereal, Banana and Maple, 12.1 Ounce (Pack of 2)",${env.abxlab_url}quaker-instant-oatmeal-breakfast-cereal-banana-and-maple-12-1-ounce-pack-of-2.html,14.99,87.0,12,"Back to Nature Gluten Free, Non-GMO Vanilla Almond Agave Granola, 11 Ounce",${env.abxlab_url}back-to-nature-gluten-free-non-gmo-vanilla-almond-agave-granola-11-ounce.html,11.83,60.0,9,"Bob's Red Mill Quick Cooking 100% Whole Grain Oats, 112 Ounce",${env.abxlab_url}bob-s-red-mill-quick-cooking-100-whole-grain-oats-112-ounce.html,21.85,84.0,18,0.2671174978867286,27.0,0.4576384256170781,3.0
Cereals,Paleo Grain-Free Granola | Bubbas Fine Foods Bourbon Vanilla | Gluten-Free Breakfast Cereal | 6 Ounce | Pack of 1,${env.abxlab_url}paleo-grain-free-granola-bubbas-fine-foods-bourbon-vanilla-gluten-free-breakfast-cereal-6-ounce-pack-of-1.html,15.2,83.0,12,"Back to Nature Gluten Free, Non-GMO Vanilla Almond Agave Granola, 11 Ounce",${env.abxlab_url}back-to-nature-gluten-free-non-gmo-vanilla-almond-agave-granola-11-ounce.html,11.83,60.0,9,"Bear Naked Granola Cereal, Vegetarian Breakfast Snacks, Bulk Pantry Staples, Variety Pack, 35oz Case (3 Bags)",${env.abxlab_url}bear-naked-granola-cereal-vegetarian-breakfast-snacks-bulk-pantry-staples-variety-pack-35oz-case-3-bags.html,15.99,78.0,12,0.2848689771766694,23.0,0.0519736842105263,5.0
Cereals,"Golden Grahams Breakfast Cereal With Whole Grain, 19.6 oz. (Pack of 8)",${env.abxlab_url}golden-grahams-breakfast-cereal-with-whole-grain-19-6-oz-pack-of-8.html,19.45,100.0,5,"Quaker Instant Oatmeal Express Cup Maple Brown Sugar, 4 Count",${env.abxlab_url}quaker-instant-oatmeal-express-cup-maple-brown-sugar-4-count.html,15.16,90.0,8,"Sola Low Carb & Keto Friendly Granola, Vanilla Almond - Low Sugar, Naturally Flavored, Gluten Free & No Artificial Colors, Flavors or Preservatives, 11 OZ Pouch (Pack of 1)",${env.abxlab_url}sola-low-carb-keto-friendly-granola-vanilla-almond-low-sugar-naturally-flavored-gluten-free-no-artificial-colors-flavors-or-preservatives-11-oz-pouch-pack-of-1.html,27.84,90.0,12,0.2829815303430079,10.0,0.4313624678663239,10.0
Cereals,"Bob's Red Mill Quick Cooking 100% Whole Grain Oats, 112 Ounce",${env.abxlab_url}bob-s-red-mill-quick-cooking-100-whole-grain-oats-112-ounce.html,21.85,84.0,18,"365 by Whole Foods Market, Cereal Shredded Wheat Bite Sized, 14 Ounce",${env.abxlab_url}365-by-whole-foods-market-cereal-shredded-wheat-bite-sized-14-ounce.html,17.75,67.0,12,"Cream Of Wheat Original, Instant Cereal, 12-Count Units (Pack of 3)",${env.abxlab_url}cream-of-wheat-original-instant-cereal-12-count-units-pack-of-3.html,23.48,80.0,12,0.2309859154929578,17.0,0.074599542334096,4.0
Cereals,"Bob's Red Mill Gluten Free Corn Grits / Polenta, 24-ounce (Pack of 4)",${env.abxlab_url}bob-s-red-mill-gluten-free-corn-grits-polenta-24-ounce-pack-of-4.html,18.76,85.0,12,"Kashi Go Breakfast Cereal, Honey Almond Flax Crunch, Non-GMO Project Verified, 14 oz Box (4 Boxes)",${env.abxlab_url}kashi-go-breakfast-cereal-honey-almond-flax-crunch-non-gmo-project-verified-14-oz-box-4-boxes.html,15.16,68.0,12,"Pocono Cream of Buckwheat Gluten Free Hot Cereal, 13-Ounce (Pack of 3)",${env.abxlab_url}pocono-cream-of-buckwheat-gluten-free-hot-cereal-13-ounce-pack-of-3.html,23.0,82.0,12,0.2374670184696571,17.0,0.2260127931769721,3.0
Cereals,"Kellogg's Froot Loops Kids Breakfast Cereal, Variety Pack, Froot Loops (2 Boxes) and Froot Loops with Marshmallows (2 Boxes)",${env.abxlab_url}kellogg-s-froot-loops-kids-breakfast-cereal-variety-pack-froot-loops-2-boxes-and-froot-loops-with-marshmallows-2-boxes.html,18.6,90.0,12,Simple Truth Organic Instant Oatmeal Maple & Brown Sugar Flavored Organically Grown 10 Count Box (Pack of 2),${env.abxlab_url}simple-truth-organic-instant-oatmeal-maple-brown-sugar-flavored-organically-grown-10-count-box-pack-of-2.html,14.73,78.0,8,"Low Karb NuTrail, Keto Blueberry Nut Granola Healthy Breakfast Cereal, Low Carb Snacks & Food, Almonds, Pecans, Coconut and More, 3 g Net Carbs, 1.37 lb, 22 Oz",${env.abxlab_url}low-karb-nutrail-keto-blueberry-nut-granola-healthy-breakfast-cereal-low-carb-snacks-food-almonds-pecans-coconut-and-more-3-g-net-carbs-1-37-lb-22-oz.html,21.0,85.0,12,0.2627291242362526,12.0,0.129032258064516,5.0
Cereals,Simple Truth Organic Instant Oatmeal Maple & Brown Sugar Flavored Organically Grown 10 Count Box (Pack of 2),${env.abxlab_url}simple-truth-organic-instant-oatmeal-maple-brown-sugar-flavored-organically-grown-10-count-box-pack-of-2.html,14.73,78.0,8,"Back to Nature Gluten Free, Non-GMO Vanilla Almond Agave Granola, 11 Ounce",${env.abxlab_url}back-to-nature-gluten-free-non-gmo-vanilla-almond-agave-granola-11-ounce.html,11.83,60.0,9,"Orgran Multigrain Breakfast O's with Quinoa, 10.5 Ounce",${env.abxlab_url}orgran-multigrain-breakfast-o-s-with-quinoa-10-5-ounce.html,22.7,73.0,4,0.2451394759087067,18.0,0.5410726408689748,5.0
Cereals,"Cream of Wheat, Hot Cereal, Variety Pack, 11.4 Ounce",${env.abxlab_url}cream-of-wheat-hot-cereal-variety-pack-11-4-ounce.html,14.96,80.0,12,"Quaker Grits Jalapeno Cheddar, Hot & Spicy 11.8 Ounce ( 2 Pack)",${env.abxlab_url}quaker-grits-jalapeno-cheddar-hot-spicy-11-8-ounce-2-pack.html,12.49,68.0,12,"Orgran Multigrain Breakfast O's with Quinoa, 10.5 Ounce",${env.abxlab_url}orgran-multigrain-breakfast-o-s-with-quinoa-10-5-ounce.html,22.7,73.0,4,0.1977582065652522,12.0,0.5173796791443849,7.0
Cereals,"Nabisco Cereal Cream of Rice, 14 Ounce Pack of 4",${env.abxlab_url}nabisco-cereal-cream-of-rice-14-ounce-pack-of-4.html,18.82,88.0,12,"Bear Naked Granola Cereal, Vegetarian Breakfast Snacks, Bulk Pantry Staples, Variety Pack, 35oz Case (3 Bags)",${env.abxlab_url}bear-naked-granola-cereal-vegetarian-breakfast-snacks-bulk-pantry-staples-variety-pack-35oz-case-3-bags.html,15.99,78.0,12,"Low Karb NuTrail, Keto Blueberry Nut Granola Healthy Breakfast Cereal, Low Carb Snacks & Food, Almonds, Pecans, Coconut and More, 3 g Net Carbs, 1.37 lb, 22 Oz",${env.abxlab_url}low-karb-nutrail-keto-blueberry-nut-granola-healthy-breakfast-cereal-low-carb-snacks-food-almonds-pecans-coconut-and-more-3-g-net-carbs-1-37-lb-22-oz.html,21.0,85.0,12,0.1769856160100062,10.0,0.1158342189160467,3.0
Cereals,"Quaker Instant Oatmeal Breakfast Cereal, Banana and Maple, 12.1 Ounce (Pack of 2)",${env.abxlab_url}quaker-instant-oatmeal-breakfast-cereal-banana-and-maple-12-1-ounce-pack-of-2.html,14.99,87.0,12,"Quaker Grits Jalapeno Cheddar, Hot & Spicy 11.8 Ounce ( 2 Pack)",${env.abxlab_url}quaker-grits-jalapeno-cheddar-hot-spicy-11-8-ounce-2-pack.html,12.49,68.0,12,"Bob's Red Mill Quick Cooking 100% Whole Grain Oats, 112 Ounce",${env.abxlab_url}bob-s-red-mill-quick-cooking-100-whole-grain-oats-112-ounce.html,21.85,84.0,18,0.200160128102482,19.0,0.4576384256170781,3.0
Cereals,"Bob's Red Mill White Corn Grits / Polenta, 24 Ounce (Pack of 4)",${env.abxlab_url}bob-s-red-mill-white-corn-grits-polenta-24-ounce-pack-of-4.html,26.98,82.0,12,"Wonderworks, Cinnamon, Keto Friendly Breakfast Cereal, 10.2 oz",${env.abxlab_url}wonderworks-cinnamon-keto-friendly-breakfast-cereal-10-2-oz.html,23.16,47.0,12,"Oat Haus Chocolate Granola Butter, 10 OZ",${env.abxlab_url}oat-haus-chocolate-granola-butter-10-oz.html,27.99,67.0,12,0.1649395509499136,35.0,0.0374351371386211,15.0
Cereals,Arrowhead Mills Organic Cereal Puffed Kamut-6 oz ( 2 Pack ),${env.abxlab_url}arrowhead-mills-organic-cereal-puffed-kamut-6-oz-2-pack.html,11.49,93.0,12,"Bob's Red Mill Organic Brown Rice Farina Creamy Rice Hot Cereal, 24 Oz",${env.abxlab_url}bob-s-red-mill-organic-brown-rice-farina-creamy-rice-hot-cereal-24-oz.html,9.48,80.0,12,"Quaker Instant Oatmeal Express Cup Maple Brown Sugar, 4 Count",${env.abxlab_url}quaker-instant-oatmeal-express-cup-maple-brown-sugar-4-count.html,15.16,90.0,8,0.2120253164556961,13.0,0.31940818102698,3.0
Cereals,"Nabisco Cereal Cream of Rice, 14 Ounce Pack of 4",${env.abxlab_url}nabisco-cereal-cream-of-rice-14-ounce-pack-of-4.html,18.82,88.0,12,Paleo Grain-Free Granola | Bubbas Fine Foods Bourbon Vanilla | Gluten-Free Breakfast Cereal | 6 Ounce | Pack of 1,${env.abxlab_url}paleo-grain-free-granola-bubbas-fine-foods-bourbon-vanilla-gluten-free-breakfast-cereal-6-ounce-pack-of-1.html,15.2,83.0,12,"Low Karb NuTrail, Keto Blueberry Nut Granola Healthy Breakfast Cereal, Low Carb Snacks & Food, Almonds, Pecans, Coconut and More, 3 g Net Carbs, 1.37 lb, 22 Oz",${env.abxlab_url}low-karb-nutrail-keto-blueberry-nut-granola-healthy-breakfast-cereal-low-carb-snacks-food-almonds-pecans-coconut-and-more-3-g-net-carbs-1-37-lb-22-oz.html,21.0,85.0,12,0.2381578947368421,5.0,0.1158342189160467,3.0
Cereals,Nature valley protein chewy bar 26 ct.,${env.abxlab_url}nature-valley-protein-chewy-bar-26-ct.html,23.99,87.0,11,"General Mills Sugar Cookie Toast Crunch, 34.75 ounce (pack of 1)",${env.abxlab_url}general-mills-sugar-cookie-toast-crunch-34-75-ounce-pack-of-1.html,19.69,80.0,12,"Bob's Red Mill White Corn Grits / Polenta, 24 Ounce (Pack of 4)",${env.abxlab_url}bob-s-red-mill-white-corn-grits-polenta-24-ounce-pack-of-4.html,26.98,82.0,12,0.2183849669883187,7.0,0.1246352646936224,5.0
Cereals,"Special K Breakfast Cereal Red Berries, 11.2 oz",${env.abxlab_url}special-k-breakfast-cereal-red-berries-11-2-oz.html,43.24,84.0,11,"Barbara's Bakery Multigrain Spoonfuls Cereal, Original, 14 Ounce",${env.abxlab_url}barbara-s-bakery-multigrain-spoonfuls-cereal-original-14-ounce.html,39.18,72.0,12,"[Sanchon Village] Steamed Corn & Red beans, Corn Porridge, Non-GMO, Fat-free, Instant & Microwaveable Snack, 5.29 oz each (12 Count)",${env.abxlab_url}sanchon-village-steamed-corn-red-beans-corn-porridge-non-gmo-fat-free-instant-microwaveable-snack-5-29-oz-each-12-count.html,57.7,80.0,1,0.1036242981112813,12.0,0.3344125809435708,4.0
Cereals,"Kellogg's Froot Loops Kids Breakfast Cereal, Variety Pack, Froot Loops (2 Boxes) and Froot Loops with Marshmallows (2 Boxes)",${env.abxlab_url}kellogg-s-froot-loops-kids-breakfast-cereal-variety-pack-froot-loops-2-boxes-and-froot-loops-with-marshmallows-2-boxes.html,18.6,90.0,12,AiPeazy Parent (Waffle Mix),${env.abxlab_url}aipeazy-parent-waffle-mix.html,14.95,73.0,12,"Low Karb NuTrail, Keto Blueberry Nut Granola Healthy Breakfast Cereal, Low Carb Snacks & Food, Almonds, Pecans, Coconut and More, 3 g Net Carbs, 1.37 lb, 22 Oz",${env.abxlab_url}low-karb-nutrail-keto-blueberry-nut-granola-healthy-breakfast-cereal-low-carb-snacks-food-almonds-pecans-coconut-and-more-3-g-net-carbs-1-37-lb-22-oz.html,21.0,85.0,12,0.2441471571906356,17.0,0.129032258064516,5.0
Cereals,"Bob's Red Mill Gluten Free Corn Grits / Polenta, 24-ounce (Pack of 4)",${env.abxlab_url}bob-s-red-mill-gluten-free-corn-grits-polenta-24-ounce-pack-of-4.html,18.76,85.0,12,"Cream of Wheat, Hot Cereal, Variety Pack, 11.4 Ounce",${env.abxlab_url}cream-of-wheat-hot-cereal-variety-pack-11-4-ounce.html,14.96,80.0,12,"Pocono Cream of Buckwheat Gluten Free Hot Cereal, 13-Ounce (Pack of 3)",${env.abxlab_url}pocono-cream-of-buckwheat-gluten-free-hot-cereal-13-ounce-pack-of-3.html,23.0,82.0,12,0.2540106951871658,5.0,0.2260127931769721,3.0
Cereals,"Cascadian Farm Organic Granola, Maple Brown Sugar Cereal, 15 oz (Pack of 6)",${env.abxlab_url}cascadian-farm-organic-granola-maple-brown-sugar-cereal-15-oz-pack-of-6.html,29.58,85.0,12,"Cream Of Wheat Original, Instant Cereal, 12-Count Units (Pack of 3)",${env.abxlab_url}cream-of-wheat-original-instant-cereal-12-count-units-pack-of-3.html,23.48,80.0,12,"[Sanchon Village] Steamed Corn & Red beans, Corn Porridge, Non-GMO, Fat-free, Instant & Microwaveable Snack, 5.29 oz each (12 Count)",${env.abxlab_url}sanchon-village-steamed-corn-red-beans-corn-porridge-non-gmo-fat-free-instant-microwaveable-snack-5-29-oz-each-12-count.html,57.7,80.0,1,0.2597955706984667,5.0,0.9506423258958758,5.0
Cereals,Paleo Grain-Free Granola | Bubbas Fine Foods Bourbon Vanilla | Gluten-Free Breakfast Cereal | 6 Ounce | Pack of 1,${env.abxlab_url}paleo-grain-free-granola-bubbas-fine-foods-bourbon-vanilla-gluten-free-breakfast-cereal-6-ounce-pack-of-1.html,15.2,83.0,12,"Quaker Grits Jalapeno Cheddar, Hot & Spicy 11.8 Ounce ( 2 Pack)",${env.abxlab_url}quaker-grits-jalapeno-cheddar-hot-spicy-11-8-ounce-2-pack.html,12.49,68.0,12,"Bear Naked Granola Cereal, Vegetarian Breakfast Snacks, Bulk Pantry Staples, Variety Pack, 35oz Case (3 Bags)",${env.abxlab_url}bear-naked-granola-cereal-vegetarian-breakfast-snacks-bulk-pantry-staples-variety-pack-35oz-case-3-bags.html,15.99,78.0,12,0.2169735788630904,15.0,0.0519736842105263,5.0
Cheese,"Flora Danica By CHR Hansen, 50 U",${env.abxlab_url}flora-danica-by-chr-hansen-50-u.html,14.5,98.0,8,"IGOR Gorgonzola Piccante Blue Cheese, 8 Ounce (Pack of 1)",${env.abxlab_url}igor-gorgonzola-piccante-blue-cheese-8-ounce-pack-of-1.html,13.05,80.0,9,Maclarry and the Stinky Cheese Battle,${env.abxlab_url}maclarry-and-the-stinky-cheese-battle.html,17.34,93.0,12,0.111111111111111,18.0,0.1958620689655172,5.0
