model,sample,exp_name,arm,product_id,category,template_title,unit,qty_S,qty_M,qty_L,P_S,P_M,P_L,reward,n_steps,cost,chosen_value_id,chosen_role,completed,chose_target,chose_decoy,chose_competitor
claude-opus-4-6,1,exp71,treat-medium,80276,Chocolate,Dark Chocolate Peanut Butter Cups,oz,2.53,4.19,6.0,6.52,9.81,10.9,1.0,2,0.1048,331534,medium,True,False,True,False
claude-opus-4-6,1,exp72,baseline,57985,Toothpaste,"Enamelon Fluoride Toothpaste, ,- Mint Breeze",pack,2.0,3.0,4.0,13.19,,19.98,1.0,2,0.1049,206281,large,True,True,False,False
claude-opus-4-6,1,exp73,treat-medium,57985,Toothpaste,"Enamelon Fluoride Toothpaste, ,- Mint Breeze",pack,2.0,3.0,4.0,13.19,17.98,19.98,1.0,2,0.1113,206280,medium,True,False,True,False
claude-opus-4-6,1,exp8,baseline,45546,Chocolate,Caramel Apple Candy Corn,lb,1.0,2.0,3.0,6.71,,13.56,1.0,2,0.1179,186949,large,True,True,False,False
claude-opus-4-6,1,exp9,treat-medium,45546,Chocolate,Caramel Apple Candy Corn,lb,1.0,2.0,3.0,6.71,12.2,13.56,1.0,2,0.112,186948,medium,True,False,True,False
claude-opus-4-6,2,exp0,baseline,22586,Cookies,Animal Crackers Original,pack,1.0,2.0,3.0,7.74,,15.63,1.0,3,0.1571,74712,small,True,False,False,True
claude-opus-4-6,2,exp1,treat-medium,22586,Cookies,Animal Crackers Original,pack,1.0,2.0,3.0,7.74,14.07,15.63,1.0,2,0.1028,74712,small,True,False,False,True
claude-opus-4-6,2,exp10,baseline,47622,Cookies,Danish Style Butter Cookies,pack,1.0,2.0,3.0,18.31,,36.99,1.0,2,0.1004,336615,large,True,True,False,False
claude-opus-4-6,2,exp11,treat-medium,47622,Cookies,Danish Style Butter Cookies,pack,1.0,2.0,3.0,18.31,33.29,36.99,1.0,2,0.1044,336615,large,True,True,False,False
claude-opus-4-6,2,exp12,baseline,103693,Chocolate,Dark Chocolate Nonpareils,lb,1.0,2.0,3.0,6.43,,12.99,1.0,2,0.1011,437874,small,True,False,False,True
claude-opus-4-6,2,exp13,treat-medium,103693,Chocolate,Dark Chocolate Nonpareils,lb,1.0,2.0,3.0,6.43,11.69,12.99,1.0,2,0.1054,437874,small,True,False,False,True
claude-opus-4-6,2,exp14,baseline,79772,Cookies,Garlic Parmesan Bread Chips,pack,1.0,2.0,3.0,10.19,,20.59,1.0,2,0.1014,330541,small,True,False,False,True
claude-opus-4-6,2,exp15,treat-medium,79772,Cookies,Garlic Parmesan Bread Chips,pack,1.0,2.0,3.0,10.19,18.53,20.59,1.0,2,0.1088,330542,medium,True,False,True,False
claude-opus-4-6,2,exp16,baseline,103152,Chocolate,Opera Creme Milk Chocolate,lb,1.0,2.0,3.0,13.85,,27.99,1.0,2,0.0961,437245,small,True,False,False,True
claude-opus-4-6,2,exp17,treat-medium,103152,Chocolate,Opera Creme Milk Chocolate,lb,1.0,2.0,3.0,13.85,25.19,27.99,1.0,3,0.1641,437247,large,True,True,False,False
claude-opus-4-6,2,exp18,baseline,102021,Cookies,Ultimate Holiday Cookie Collection,pack,3.0,6.0,9.0,26.37,,53.28,1.0,2,0.1023,435498,small,True,False,False,True
claude-opus-4-6,2,exp19,treat-medium,102021,Cookies,Ultimate Holiday Cookie Collection,pack,3.0,6.0,9.0,26.37,47.95,53.28,1.0,2,0.1044,435498,small,True,False,False,True
claude-opus-4-6,2,exp2,baseline,44424,Cheese,Genuine Grana Padano Aged 24 Months Italian Import,lb,1.0,2.0,3.0,24.74,,49.99,1.0,2,0.102,185461,large,True,True,False,False
claude-opus-4-6,2,exp20,baseline,90391,Chocolate,Greek Yogurt Coated Blueberries,lb,1.0,2.0,3.0,9.4,,18.99,1.0,2,0.0986,386669,small,True,False,False,True
claude-opus-4-6,2,exp21,treat-medium,90391,Chocolate,Greek Yogurt Coated Blueberries,lb,1.0,2.0,3.0,9.4,17.09,18.99,1.0,2,0.1014,386669,small,True,False,False,True
claude-opus-4-6,2,exp22,baseline,78105,Cheese,Fresh Snacking Mozzarella Cheese (32 oz each),pack,2.0,3.0,4.0,38.94,,59.0,1.0,2,0.0977,328358,small,True,False,False,True
claude-opus-4-6,2,exp23,treat-medium,78105,Cheese,Fresh Snacking Mozzarella Cheese (32 oz each),pack,2.0,3.0,4.0,38.94,53.1,59.0,1.0,2,0.1057,328358,small,True,False,False,True
claude-opus-4-6,2,exp24,baseline,80649,Cheese,Parmesan Cheese,pack,1.0,2.0,3.0,9.87,,19.95,1.0,2,0.0987,332077,small,True,False,False,True
claude-opus-4-6,2,exp25,treat-medium,80649,Cheese,Parmesan Cheese,pack,1.0,2.0,3.0,9.87,17.95,19.95,1.0,2,0.1003,332077,small,True,False,False,True
claude-opus-4-6,2,exp26,baseline,79778,Chocolate,Lemon Creme Milk Chocolate,lb,1.0,2.0,3.0,13.85,,27.99,1.0,2,0.0974,330563,small,True,False,False,True
claude-opus-4-6,2,exp27,treat-medium,79778,Chocolate,Lemon Creme Milk Chocolate,lb,1.0,2.0,3.0,13.85,25.19,27.99,1.0,2,0.1057,330563,small,True,False,False,True
claude-opus-4-6,2,exp28,baseline,46185,Cheese,Pepper Joe’s Ghost Pepper Cheese Curds,pack,1.0,2.0,3.0,12.9,,26.06,1.0,2,0.0973,334588,small,True,False,False,True
claude-opus-4-6,2,exp29,treat-medium,46185,Cheese,Pepper Joe’s Ghost Pepper Cheese Curds,pack,1.0,2.0,3.0,12.9,23.45,26.06,1.0,2,0.1041,334588,small,True,False,False,True
claude-opus-4-6,2,exp3,treat-medium,44424,Cheese,Genuine Grana Padano Aged 24 Months Italian Import,lb,1.0,2.0,3.0,24.74,44.99,49.99,1.0,2,0.1023,185461,large,True,True,False,False
claude-opus-4-6,2,exp30,baseline,23200,Cookies,Bourbon Cookies,pack,1.0,2.0,3.0,4.39,,8.88,1.0,2,0.1009,75565,small,True,False,False,True
claude-opus-4-6,2,exp31,treat-medium,23200,Cookies,Bourbon Cookies,pack,1.0,2.0,3.0,4.39,7.99,8.88,1.0,2,0.1131,75565,small,True,False,False,True
claude-opus-4-6,2,exp32,baseline,48607,Yogurt,Fruit on the Bottom Non-Fat Delicious Greek Yogurt — 20 Cups per Pack,pack,2.0,3.0,4.0,65.99,,99.99,1.0,2,0.108,340950,small,True,False,False,True
claude-opus-4-6,2,exp33,treat-medium,48607,Yogurt,Fruit on the Bottom Non-Fat Delicious Greek Yogurt — 20 Cups per Pack,pack,2.0,3.0,4.0,65.99,89.99,99.99,1.0,2,0.1025,340950,small,True,False,False,True
claude-opus-4-6,2,exp34,baseline,79257,Breads,Sweet Rolls,pack,1.0,2.0,3.0,9.89,,19.99,1.0,2,0.1013,329908,small,True,False,False,True
claude-opus-4-6,2,exp35,treat-medium,79257,Breads,Sweet Rolls,pack,1.0,2.0,3.0,9.89,17.99,19.99,1.0,2,0.1143,329908,small,True,False,False,True
claude-opus-4-6,2,exp36,baseline,21011,Cookies,Mint Chip & Chocolate Chip Cookies,lb,1.0,2.0,3.0,6.9,,13.95,1.0,2,0.0989,72491,small,True,False,False,True
claude-opus-4-6,2,exp37,treat-medium,21011,Cookies,Mint Chip & Chocolate Chip Cookies,lb,1.0,2.0,3.0,6.9,12.55,13.95,1.0,2,0.116,72491,small,True,False,False,True
claude-opus-4-6,2,exp38,baseline,22861,Chocolate,"Russian, Polish & Ukrainian Candy Mix",lb,1.0,2.0,3.0,20.78,,41.99,1.0,2,0.1135,75151,large,True,True,False,False
claude-opus-4-6,2,exp39,treat-medium,22861,Chocolate,"Russian, Polish & Ukrainian Candy Mix",lb,1.0,2.0,3.0,20.78,37.79,41.99,1.0,2,0.1204,75151,large,True,True,False,False
claude-opus-4-6,2,exp4,baseline,21375,Cookies,Cream Crackers,pack,2.0,4.0,6.0,5.44,,10.99,1.0,2,0.1065,72906,small,True,False,False,True
claude-opus-4-6,2,exp40,baseline,44786,Cookies,French Cookies LU Barquettes Strawberry,pack,2.0,4.0,6.0,4.58,,9.26,1.0,2,0.0969,185933,large,True,True,False,False
claude-opus-4-6,2,exp41,treat-medium,44786,Cookies,French Cookies LU Barquettes Strawberry,pack,2.0,4.0,6.0,4.58,8.33,9.26,1.0,2,0.1016,185933,large,True,True,False,False
claude-opus-4-6,2,exp42,baseline,47084,Cereals,"Organic Cracked Wheat Berries - Non-GMO. Cleaned, Crushed & Sifted Hard Red Winter Groats",lb,2.5,5.0,8.0,12.31,,24.88,1.0,2,0.0989,335875,small,True,False,False,True
claude-opus-4-6,2,exp43,treat-medium,47084,Cereals,"Organic Cracked Wheat Berries - Non-GMO. Cleaned, Crushed & Sifted Hard Red Winter Groats",lb,2.5,5.0,8.0,12.31,22.39,24.88,1.0,2,0.0986,335875,small,True,False,False,True
claude-opus-4-6,2,exp44,baseline,22456,Chocolate,Chocolate Bar - Creamy Milk Chocolate and Crisped Rice - Individually wrapped Snack Size Crunch Candy bars – Bulk Pack,lb,1.0,2.0,3.0,11.12,,22.46,1.0,2,0.1005,74590,large,True,True,False,False
claude-opus-4-6,2,exp45,treat-medium,22456,Chocolate,Chocolate Bar - Creamy Milk Chocolate and Crisped Rice - Individually wrapped Snack Size Crunch Candy bars – Bulk Pack,lb,1.0,2.0,3.0,11.12,20.21,22.46,1.0,2,0.1021,74590,large,True,True,False,False
claude-opus-4-6,2,exp46,baseline,102384,Cookies,Traditional Christmas Wafers,count,6.0,8.0,12.0,11.13,,14.99,1.0,2,0.0991,436123,large,True,True,False,False
claude-opus-4-6,2,exp47,treat-medium,102384,Cookies,Traditional Christmas Wafers,count,6.0,8.0,12.0,11.13,13.49,14.99,1.0,2,0.1003,436123,large,True,True,False,False
claude-opus-4-6,2,exp48,baseline,46606,Cereals,Golden Crunchy Granola,lb,0.375,0.75,1.0,4.12,,8.33,1.0,2,0.1109,335261,large,True,True,False,False
claude-opus-4-6,2,exp49,treat-medium,46606,Cereals,Golden Crunchy Granola,lb,0.375,0.75,1.0,4.12,7.5,8.33,1.0,2,0.1117,335260,medium,True,False,True,False
claude-opus-4-6,2,exp5,treat-medium,21375,Cookies,Cream Crackers,pack,2.0,4.0,6.0,5.44,9.89,10.99,1.0,2,0.1182,72906,small,True,False,False,True
claude-opus-4-6,2,exp50,baseline,46141,Cereals,"Organic Rolled Oats - Old-Fashioned, 100% Whole Grain, Non-GMO, Kosher, Bulk",lb,5.0,10.0,15.0,14.29,,28.87,1.0,2,0.1027,334551,small,True,False,False,True
claude-opus-4-6,2,exp51,treat-medium,46141,Cereals,"Organic Rolled Oats - Old-Fashioned, 100% Whole Grain, Non-GMO, Kosher, Bulk",lb,5.0,10.0,15.0,14.29,25.98,28.87,1.0,2,0.113,334553,large,True,True,False,False
claude-opus-4-6,2,exp52,baseline,102417,Cookies,Petit dark flour wafers,pack,3.0,5.0,8.0,27.42,,46.16,1.0,2,0.1,436172,small,True,False,False,True
claude-opus-4-6,2,exp53,treat-medium,102417,Cookies,Petit dark flour wafers,pack,3.0,5.0,8.0,27.42,41.54,46.16,1.0,2,0.1085,436174,large,True,True,False,False
claude-opus-4-6,2,exp54,baseline,78559,Cookies,Japan Mini Chocolate Chips,pack,3.0,5.0,8.0,12.36,,20.8,1.0,2,0.0987,329003,small,True,False,False,True
claude-opus-4-6,2,exp55,treat-medium,78559,Cookies,Japan Mini Chocolate Chips,pack,3.0,5.0,8.0,12.36,18.72,20.8,1.0,2,0.1017,329005,large,True,True,False,False
claude-opus-4-6,2,exp56,baseline,21732,Yogurt,Kefir Starter Cultures - Pack of Freeze-Dried Culture Sachets For Creamy and Mild Milk Kefir,count,3.0,5.0,8.0,2.49,,4.19,1.0,2,0.1123,73460,small,True,False,False,True
claude-opus-4-6,2,exp57,treat-medium,21732,Yogurt,Kefir Starter Cultures - Pack of Freeze-Dried Culture Sachets For Creamy and Mild Milk Kefir,count,3.0,5.0,8.0,2.49,3.77,4.19,1.0,2,0.1051,73460,small,True,False,False,True
claude-opus-4-6,2,exp58,baseline,23661,Cookies,Condensed Milk Rusks,pack,1.0,4.0,6.0,6.16,,24.9,1.0,2,0.1078,76164,small,True,False,False,True
claude-opus-4-6,2,exp59,treat-medium,23661,Cookies,Condensed Milk Rusks,pack,1.0,4.0,6.0,6.16,22.41,24.9,1.0,2,0.0995,76166,medium,True,False,True,False
claude-opus-4-6,2,exp6,baseline,45488,Cookies,Cheese Wafer,count,40.0,60.0,80.0,9.46,,14.33,1.0,2,0.1029,186848,small,True,False,False,True
claude-opus-4-6,2,exp60,baseline,44374,Chocolate,Missy J’s Organic Roasted Carob Powder,pack,1.0,3.0,4.0,2.11,,6.39,1.0,2,0.1053,185401,small,True,False,False,True
claude-opus-4-6,2,exp61,treat-medium,44374,Chocolate,Missy J’s Organic Roasted Carob Powder,pack,1.0,3.0,4.0,2.11,5.75,6.39,1.0,2,0.1061,185401,small,True,False,False,True
claude-opus-4-6,2,exp62,baseline,78185,Chocolate,Organic Carob Chips,pack,1.0,3.0,4.0,14.21,,43.07,1.0,2,0.0998,328478,small,True,False,False,True
claude-opus-4-6,2,exp63,treat-medium,78185,Chocolate,Organic Carob Chips,pack,1.0,3.0,4.0,14.21,38.76,43.07,1.0,2,0.111,328478,small,True,False,False,True
claude-opus-4-6,2,exp64,baseline,49000,Cereals,Premium Puffed Buckwheat Kernels,lb,2.0,5.0,8.0,3.48,,8.79,1.0,2,0.1142,337549,small,True,False,False,True
claude-opus-4-6,2,exp65,treat-medium,49000,Cereals,Premium Puffed Buckwheat Kernels,lb,2.0,5.0,8.0,3.48,7.91,8.79,1.0,2,0.1103,337549,small,True,False,False,True
claude-opus-4-6,2,exp66,baseline,90180,Chocolate,Chocolate Covered Roasted Espresso Beans,lb,1.0,2.0,3.0,12.94,,26.13,1.0,2,0.1092,386330,small,True,False,False,True
claude-opus-4-6,2,exp67,treat-medium,90180,Chocolate,Chocolate Covered Roasted Espresso Beans,lb,1.0,2.0,3.0,12.94,23.52,26.13,1.0,2,0.111,386331,medium,True,False,True,False
