category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv,score_moderate
Cookies,Jovial Einkorn Cookies | Crispy Cocoa Cookies | USDA Certified Organic | High Protein | Fair Trade Certified | All Natural Ingredients | Low Carb | Low Sugar | Palm Done Right | 8.8 oz,${env.abxlab_url}jovial-einkorn-cookies-crispy-cocoa-cookies-usda-certified-organic-high-protein-fair-trade-certified-all-natural-ingredients-low-carb-low-sugar-palm-done-right-8-8-oz.html,14.12,73.0,12,"Pocky Biscuit Sticks Variety, Chocolate, Strawberry, Cookies & Cream, and Almond ,Pack of 4 Boxes",${env.abxlab_url}pocky-biscuit-sticks-variety-chocolate-strawberry-cookies-cream-and-almond-pack-of-4-boxes.html,12.95,68.0,10,"OREO Mini Golden Sandwich Cookies, Vanilla Flavor, 12 Big Bags",${env.abxlab_url}oreo-mini-golden-sandwich-cookies-vanilla-flavor-12-big-bags.html,15.41,70.0,10,0.0903474903474903,5.0,0.0913597733711048,3.0,1.1531709451256196
Cheese,"Land O Lakes® Sliced White Deli American Cheese Product, 8 oz",${env.abxlab_url}land-o-lakesr-sliced-white-deli-american-cheese-product-8-oz.html,26.14,83.0,12,"Ponce De Leon Spanish Sliced Cheese Plate, 5.3 Oz.",${env.abxlab_url}ponce-de-leon-spanish-sliced-cheese-plate-5-3-oz.html,23.13,80.0,12,Tequenos Bundle - Artisan White Cheese Sticks (32U Bundle),${env.abxlab_url}tequenos-bundle-artisan-white-cheese-sticks-32u-bundle.html,28.0,80.0,1,0.1301340250756593,3.0,0.0711553175210405,3.0,1.1559148302184752
Cookies,"OREO Chocolate Sandwich Cookies, Family Size, 19.1 oz",${env.abxlab_url}oreo-chocolate-sandwich-cookies-family-size-19-1-oz.html,46.32,88.0,12,"A Gift Inside Celebration Milk and White Chocolate Covered Caramel Apples Pair for Birthday, Easter, Spring 2 Count (Pack of 1)",${env.abxlab_url}a-gift-inside-celebration-milk-and-white-chocolate-covered-caramel-apples-pair-for-birthday-easter-spring-2-count-pack-of-1.html,41.94,85.0,8,"Partake Crunchy Cookies - Chocolate Chip | 4 Boxes | Vegan & Gluten Free | Free of Top 8 Allergens- Dairy Free, Nut Free, Egg Free, Wheat Free, Soy Free, Fish Free | 5.5 Oz | 15 Cookies Each",${env.abxlab_url}partake-crunchy-cookies-chocolate-chip-4-boxes-vegan-gluten-free-free-of-top-8-allergens-dairy-free-nut-free-egg-free-wheat-free-soy-free-fish-free-5-5-oz-15-cookies-each.html,52.18,85.0,12,0.1044349070100143,3.0,0.1265112262521588,3.0,1.168305276968578
Cheese,"Organic Valley Gourmet Organic Provolone Cheese Block — Pasteurized, Non GMO, No Added Hormones — 8 Oz",${env.abxlab_url}organic-valley-gourmet-organic-provolone-cheese-block-pasteurized-non-gmo-no-added-hormones-8-oz.html,43.73,82.0,12,igourmet Manchego DOP - 2 Pound Club Cut (2 pound),${env.abxlab_url}igourmet-manchego-dop-2-pound-club-cut-2-pound.html,39.98,78.0,12,WSU Wazzu Creamery Natural Cheddar Cheese 30 Oz,${env.abxlab_url}wsu-wazzu-creamery-natural-cheddar-cheese-30-oz.html,48.96,78.0,12,0.0937968984492246,4.0,0.1195975302995656,4.0,1.183202527401364
Cheese,"Organic Valley Gourmet Organic Provolone Cheese Block — Pasteurized, Non GMO, No Added Hormones — 8 Oz",${env.abxlab_url}organic-valley-gourmet-organic-provolone-cheese-block-pasteurized-non-gmo-no-added-hormones-8-oz.html,43.73,82.0,12,"Comte French Aged Cheese, Sold by the Pound",${env.abxlab_url}comte-french-aged-cheese-sold-by-the-pound.html,39.99,78.0,12,WSU Wazzu Creamery Natural Cheddar Cheese 30 Oz,${env.abxlab_url}wsu-wazzu-creamery-natural-cheddar-cheese-30-oz.html,48.96,78.0,12,0.0935233808452111,4.0,0.1195975302995656,4.0,1.184296597817418
Cookies,"Whole Foods Market, Cookie Peanut Butter Mini 18 Count, 12 Ounce",${env.abxlab_url}whole-foods-market-cookie-peanut-butter-mini-18-count-12-ounce.html,24.6,77.0,12,"Voortman Bakery Strawberry Wafers 10.6 Ounces (Pack of 4) Baked with Real Strawberries, No Artificial Colors or Flavors, No High-Fructose Corn Syrup",${env.abxlab_url}voortman-bakery-strawberry-wafers-10-6-ounces-pack-of-4-baked-with-real-strawberries-no-artificial-colors-or-flavors-no-high-fructose-corn-syrup.html,22.25,73.0,3,"Journey of Asia ""Seri's Choice KOREAN Snack"" Box 36 Count Individual Wrapped Essentials Packs of Candy, Snacks, Chips, Cookies, Treats for Kids, Children, College Students, Adult and Senior",${env.abxlab_url}journey-of-asia-seri-s-choice-korean-snack-box-36-count-individual-wrapped-essentials-packs-of-candy-snacks-chips-cookies-treats-for-kids-children-college-students-adult-and-senior.html,27.84,75.0,12,0.1056179775280899,4.0,0.1317073170731706,2.0,1.1843573581803228
Cheese,"Just The Cheese Aged Cheddar Bars, 12 Bars, 0.8 oz (22 g)",${env.abxlab_url}just-the-cheese-aged-cheddar-bars-12-bars-0-8-oz-22-g.html,12.24,83.0,12,"Bel Gioioso, Shaved Parmesan Cup, 5 oz",${env.abxlab_url}bel-gioioso-shaved-parmesan-cup-5-oz.html,10.79,80.0,12,"IGOR Gorgonzola Piccante Blue Cheese, 8 Ounce (Pack of 1)",${env.abxlab_url}igor-gorgonzola-piccante-blue-cheese-8-ounce-pack-of-1.html,13.05,80.0,9,0.1343836886005562,3.0,0.0661764705882353,3.0,1.1928288720492835
Cookies,Piraquê Biscoito Doce de Maizena 200g (PACK OF 02),${env.abxlab_url}piraque-biscoito-doce-de-maizena-200g-pack-of-02.html,9.25,63.0,12,"Gamesa Barras de Coco Cookies, 14.3 Ounce",${env.abxlab_url}gamesa-barras-de-coco-cookies-14-3-ounce.html,8.05,58.0,10,Fox's Mini Party Rings 6 x 25g,${env.abxlab_url}fox-s-mini-party-rings-6-x-25g.html,9.99,60.0,1,0.1490683229813663,5.0,0.08,3.0,1.1962732919254653
Cookies,"Tate's Bake Shop Gingersnap Cookies, Limited Edition Holiday Cookies, 7 oz",${env.abxlab_url}tate-s-bake-shop-gingersnap-cookies-limited-edition-holiday-cookies-7-oz.html,55.21,78.0,10,Lenny & Larry's Birthday Cake Cookies (12 Cookies),${env.abxlab_url}lenny-larry-s-birthday-cake-cookies-12-cookies.html,49.99,75.0,12,"Jackson's Vanilla Wafer, 11-Ounce (Pack of 6)",${env.abxlab_url}jackson-s-vanilla-wafer-11-ounce-pack-of-6.html,58.88,75.0,12,0.1044208841768353,3.0,0.0664734649520014,3.0,1.196422603484653
Cheese,"Cracker Barrel Black Ribbon Natural Slices Vermont Sharp White Cheddar Cheese Slices, 8 ct. Pouch",${env.abxlab_url}cracker-barrel-black-ribbon-natural-slices-vermont-sharp-white-cheddar-cheese-slices-8-ct-pouch.html,55.41,76.0,9,"Van Kaas Mini Gouda Bites Mix, 4.2 Oz.",${env.abxlab_url}van-kaas-mini-gouda-bites-mix-4-2-oz.html,49.97,73.0,3,"Sargento Sliced Sharp Natural Cheddar Cheese, 11 slices",${env.abxlab_url}sargento-sliced-sharp-natural-cheddar-cheese-11-slices.html,63.25,73.0,12,0.1088653191915148,3.0,0.1414907056487999,3.0,1.2105015458291404
Cereals,"Bob's Red Mill Quick Cooking 100% Whole Grain Oats, 112 Ounce",${env.abxlab_url}bob-s-red-mill-quick-cooking-100-whole-grain-oats-112-ounce.html,21.85,84.0,18,"General Mills Sugar Cookie Toast Crunch, 34.75 ounce (pack of 1)",${env.abxlab_url}general-mills-sugar-cookie-toast-crunch-34-75-ounce-pack-of-1.html,19.69,80.0,12,"Pocono Cream of Buckwheat Gluten Free Hot Cereal, 13-Ounce (Pack of 3)",${env.abxlab_url}pocono-cream-of-buckwheat-gluten-free-hot-cereal-13-ounce-pack-of-3.html,23.0,82.0,12,0.1097003555104113,4.0,0.0526315789473683,2.0,1.2306722621688817
Chocolate,Cadbury Dairy Mint Crisp Bar | Total 12 bars of British Chocolate Candy - Cadbury Mint Crisp Bar 53g each,${env.abxlab_url}cadbury-dairy-mint-crisp-bar-total-12-bars-of-british-chocolate-candy-cadbury-mint-crisp-bar-53g-each.html,33.11,93.0,3,Choc Bar Bitterswt (Pack of 12) - Pack Of 12,${env.abxlab_url}choc-bar-bitterswt-pack-of-12-pack-of-12.html,29.95,88.0,8,"Ethel M. Chocolates Classic Collection Candy Gift Box 16Piece Premium Chocolate Assortment, 14.51 Ounce",${env.abxlab_url}ethel-m-chocolates-classic-collection-candy-gift-box-16piece-premium-chocolate-assortment-14-51-ounce.html,34.98,90.0,12,0.1055091819699499,5.0,0.0564784053156145,3.0,1.2320496508577423
Chocolate,"Snickers, Crunchy Peanut Butter Squared Fun Size Chocolate Candy Bars Bag, 11.5 oz",${env.abxlab_url}snickers-crunchy-peanut-butter-squared-fun-size-chocolate-candy-bars-bag-11-5-oz.html,9.99,75.0,12,"Sugar Free Reese's Miniature Peanut Butter Cups, 3oz - Pack of 2",${env.abxlab_url}sugar-free-reese-s-miniature-peanut-butter-cups-3oz-pack-of-2.html,9.16,70.0,12,"Little Secrets Crispy Wafers, Sea Salt Flavor, Gourmet Dark Chocolate Candy, All Natural, Fair Trade Certified, No Artificial Dyes, Healthy Snacks and Treats, No Corn Syrup, (3.5oz Snack Size)",${env.abxlab_url}little-secrets-crispy-wafers-sea-salt-flavor-gourmet-dark-chocolate-candy-all-natural-fair-trade-certified-no-artificial-dyes-healthy-snacks-and-treats-no-corn-syrup-3-5oz-snack-size.html,10.68,72.0,12,0.0906113537117904,5.0,0.069069069069069,3.0,1.2412783088765624
Cheese,Anchor New Zealand Cheddar,${env.abxlab_url}anchor-new-zealand-cheddar.html,41.42,85.0,8,"French Cow Milk Cheese, Comte AOC - 1 lb",${env.abxlab_url}french-cow-milk-cheese-comte-aoc-1-lb.html,36.45,80.0,4,"Organic Valley Gourmet Organic Provolone Cheese Block — Pasteurized, Non GMO, No Added Hormones — 8 Oz",${env.abxlab_url}organic-valley-gourmet-organic-provolone-cheese-block-pasteurized-non-gmo-no-added-hormones-8-oz.html,43.73,82.0,12,0.1363511659807955,5.0,0.0557701593433122,3.0,1.2423240265499333
Chocolate,Bon O Bon White Chocolate Wafer and Peanut Cream Filling 16.9 Oz (480g) …,${env.abxlab_url}bon-o-bon-white-chocolate-wafer-and-peanut-cream-filling-16-9-oz-480g.html,16.89,73.0,3,"Whitman's Valentine Day Chocolates, Peanuts with Snoopy, Charlie Brown, Woodstock. 4 Heart Shaped Boxes, each with 3 Assorted Pieces",${env.abxlab_url}whitman-s-valentine-day-chocolates-peanuts-with-snoopy-charlie-brown-woodstock-4-heart-shaped-boxes-each-with-3-assorted-pieces.html,14.95,70.0,2,Papas Assorted Chocolate Covered Creme Eggs 6ct,${env.abxlab_url}papas-assorted-chocolate-covered-creme-eggs-6ct.html,17.67,70.0,12,0.1297658862876255,3.0,0.0461811722912966,3.0,1.2543388559853157
Cheese,Parmigiano Reggiano Whole Chunk - Top Grade - Aged 24 Months 2 Pounds (Imported Parmesan Cheese),${env.abxlab_url}parmigiano-reggiano-whole-chunk-top-grade-aged-24-months-2-pounds-imported-parmesan-cheese.html,45.98,82.0,12,"Comte French Aged Cheese, Sold by the Pound",${env.abxlab_url}comte-french-aged-cheese-sold-by-the-pound.html,39.99,78.0,12,WSU Wazzu Creamery Natural Cheddar Cheese 30 Oz,${env.abxlab_url}wsu-wazzu-creamery-natural-cheddar-cheese-30-oz.html,48.96,78.0,12,0.1497874468617153,4.0,0.0648107872988256,4.0,1.259906638251559
Cheese,Parmigiano Reggiano Whole Chunk - Top Grade - Aged 24 Months 2 Pounds (Imported Parmesan Cheese),${env.abxlab_url}parmigiano-reggiano-whole-chunk-top-grade-aged-24-months-2-pounds-imported-parmesan-cheese.html,45.98,82.0,12,igourmet Manchego DOP - 2 Pound Club Cut (2 pound),${env.abxlab_url}igourmet-manchego-dop-2-pound-club-cut-2-pound.html,39.98,78.0,12,WSU Wazzu Creamery Natural Cheddar Cheese 30 Oz,${env.abxlab_url}wsu-wazzu-creamery-natural-cheddar-cheese-30-oz.html,48.96,78.0,12,0.1500750375187594,4.0,0.0648107872988256,4.0,1.2610570008797353
Deodorants & Antiperspirants,"Speed Stick Deodorant, Ocean Surf, 3 Ounce, (Pack of 6)",${env.abxlab_url}speed-stick-deodorant-ocean-surf-3-ounce-pack-of-6.html,18.99,90.0,12,"GrowingBasics Deodorant for Boys Ages 8 & Up (Set of 2) - SPORT A - High-Performance, Essential Natural invisible Underarm Stick - Aluminum-Free - For adolescences Teen Boys - Clean, Fresh, Cool - grownish",${env.abxlab_url}growingbasics-deodorant-for-boys-ages-8-up-set-of-2-sport-a-high-performance-essential-natural-invisible-underarm-stick-aluminum-free-for-adolescences-teen-boys-clean-fresh-cool-grownish.html,16.99,87.0,12,Mitchum For Women Advanced Control Anti-Perspirant Deodorant Invisible Solid Pure Fresh 2.70 oz (Pack of 6),${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-invisible-solid-pure-fresh-2-70-oz-pack-of-6.html,22.18,87.0,12,0.1177163037080635,3.0,0.1679831490258031,3.0,1.2810673812709583
Deodorants & Antiperspirants,Lafe's Natural Deodorant | 3oz Roll-On Aluminum Free Natural Deodorant for Men & Women | Paraben Free & Baking Soda Free with 24-Hour Protection | Citrus & Bergamot - Formerly Active | 3 Pack | Packaging May Vary,${env.abxlab_url}lafe-s-natural-deodorant-3oz-roll-on-aluminum-free-natural-deodorant-for-men-women-paraben-free-baking-soda-free-with-24-hour-protection-citrus-bergamot-formerly-active-3-pack-packaging-may-vary.html,18.99,90.0,8,"GrowingBasics Deodorant for Boys Ages 8 & Up (Set of 2) - SPORT A - High-Performance, Essential Natural invisible Underarm Stick - Aluminum-Free - For adolescences Teen Boys - Clean, Fresh, Cool - grownish",${env.abxlab_url}growingbasics-deodorant-for-boys-ages-8-up-set-of-2-sport-a-high-performance-essential-natural-invisible-underarm-stick-aluminum-free-for-adolescences-teen-boys-clean-fresh-cool-grownish.html,16.99,87.0,12,Mitchum For Women Advanced Control Anti-Perspirant Deodorant Invisible Solid Pure Fresh 2.70 oz (Pack of 6),${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-invisible-solid-pure-fresh-2-70-oz-pack-of-6.html,22.18,87.0,12,0.1177163037080635,3.0,0.1679831490258031,3.0,1.2810673812709583
Cheese,Anchor New Zealand Cheddar,${env.abxlab_url}anchor-new-zealand-cheddar.html,41.42,85.0,8,Mama Francesca Parmesan Asiago & Romano Premium Grated Authentic Italian Cheese (2 Pack) Gluten Free,${env.abxlab_url}mama-francesca-parmesan-asiago-romano-premium-grated-authentic-italian-cheese-2-pack-gluten-free.html,36.0,80.0,12,"Organic Valley Gourmet Organic Provolone Cheese Block — Pasteurized, Non GMO, No Added Hormones — 8 Oz",${env.abxlab_url}organic-valley-gourmet-organic-provolone-cheese-block-pasteurized-non-gmo-no-added-hormones-8-oz.html,43.73,82.0,12,0.1505555555555556,5.0,0.0557701593433122,3.0,1.2991415848489738
Chocolate,Frey (1) Box Ovation Break-A-Parts Ball/Orange Shaped Holiday Candy - Milk Chocolate Raspberry Flavor - Splits Into 20 Pieces - Net Wt. 5.53 oz,${env.abxlab_url}frey-1-box-ovation-break-a-parts-ball-orange-shaped-holiday-candy-milk-chocolate-raspberry-flavor-splits-into-20-pieces-net-wt-5-53-oz.html,10.99,83.0,12,Milka & LU Biscuits Chocolate Bar Candy Original German Chocolate 87g/3.06oz (Pack of 2),${env.abxlab_url}milka-lu-biscuits-chocolate-bar-candy-original-german-chocolate-87g-3-06oz-pack-of-2.html,10.22,80.0,3,Cadbury Curly Wurly Chocolate Chewy Bars | Total 6 bars of British Chocolate Candy,${env.abxlab_url}cadbury-curly-wurly-chocolate-chewy-bars-total-6-bars-of-british-chocolate-candy.html,11.75,80.0,12,0.0753424657534246,3.0,0.0691537761601455,3.0,1.3020150323457196
Yogurt,"Light and Fit Multipack Peach Strawberry Yogurt, 4 Ounce -- 24 per case.",${env.abxlab_url}light-and-fit-multipack-peach-strawberry-yogurt-4-ounce-24-per-case.html,52.9,90.0,4,"FAGE Total Greek Yogurt, 2% Reduced Fat, Plain, 32 oz",${env.abxlab_url}fage-total-greek-yogurt-2-reduced-fat-plain-32-oz.html,45.53,87.0,12,"Activia Probiotic Lowfat Yogurt, Black Cherry, Non-GMO Project Verified, 4 oz., 4 Pack",${env.abxlab_url}activia-probiotic-lowfat-yogurt-black-cherry-non-gmo-project-verified-4-oz-4-pack.html,60.23,87.0,12,0.1618712936525367,3.0,0.138563327032136,3.0,1.3217384827386909
Deodorants & Antiperspirants,Nivea For Men Invisible Power Anti-Perspirant Spray 150ML (6 Pack),${env.abxlab_url}nivea-for-men-invisible-power-anti-perspirant-spray-150ml-6-pack.html,20.54,93.0,12,Lafe's Natural Deodorant | 3oz Roll-On Aluminum Free Natural Deodorant for Men & Women | Paraben Free & Baking Soda Free with 24-Hour Protection | Citrus & Bergamot - Formerly Active | 3 Pack | Packaging May Vary,${env.abxlab_url}lafe-s-natural-deodorant-3oz-roll-on-aluminum-free-natural-deodorant-for-men-women-paraben-free-baking-soda-free-with-24-hour-protection-citrus-bergamot-formerly-active-3-pack-packaging-may-vary.html,18.99,90.0,8,6 Pack Dove Men + Care Elements Mineral Talc Sandalwood Antiperspirant Spray 150ml,${env.abxlab_url}6-pack-dove-men-care-elements-mineral-talc-sandalwood-antiperspirant-spray-150ml.html,23.59,90.0,2,0.081621906266456,3.0,0.1484907497565726,3.0,1.3474753739604663
Chocolate,"Fruity Pebbles Cereal N Candy Bunny Shaped Easter Bar, King Size White Chocolate Rabbit Candies for Kids Basket Stuffer 5 Ounce",${env.abxlab_url}fruity-pebbles-cereal-n-candy-bunny-shaped-easter-bar-king-size-white-chocolate-rabbit-candies-for-kids-basket-stuffer-5-ounce.html,10.95,64.0,9,2 Rolls x 74g of Marabou Mjolkchoklad - Original - Swedish - Milk Chocolate - Chocolates - Candies - Sweets,${env.abxlab_url}2-rolls-x-74g-of-marabou-mjolkchoklad-original-swedish-milk-chocolate-chocolates-candies-sweets.html,9.75,60.0,4,"Elite Mini Milk Chocolate Bar Variety Pack, 13.7oz (21 Bars), Mini Pesek Zman, Mini Snap, Mini Log, Heavenly Chocolate Bars Made in Israel",${env.abxlab_url}elite-mini-milk-chocolate-bar-variety-pack-13-7oz-21-bars-mini-pesek-zman-mini-snap-mini-log-heavenly-chocolate-bars-made-in-israel.html,12.99,62.0,12,0.123076923076923,4.0,0.1863013698630138,2.0,1.357513171759747
Chocolate,"M&M'S Peanut, SNICKERS, TWIX, 3 MUSKETEERS & SKITTLES Cauldron Halloween Candy Variety Mix, 84.46-Ounce Bag. 275 Pieces",${env.abxlab_url}m-m-s-peanut-snickers-twix-3-musketeers-skittles-cauldron-halloween-candy-variety-mix-84-46-ounce-bag-275-pieces.html,15.78,87.0,12,"Maple Candy, 12 piece Box",${env.abxlab_url}maple-candy-12-piece-box.html,14.77,83.0,15,Candied Fruit - 1 Lb Tub (Cherry Pineapple),${env.abxlab_url}candied-fruit-1-lb-tub-cherry-pineapple.html,17.99,85.0,12,0.0683818551117129,4.0,0.1400506970849175,2.0,1.3666753678928183
