category,target_name,target_url,target_price,target_rating,target_reviews,competitor_name,competitor_url,competitor_price,competitor_rating,competitor_reviews,decoy_name,decoy_url,decoy_price,decoy_rating,decoy_reviews,tc_price_premium_pct,tc_rating_adv,dt_price_premium_pct,td_rating_adv
Cereals,Paleo Grain-Free Granola | Bubbas Fine Foods Bourbon Vanilla | Gluten-Free Breakfast Cereal | 6 Ounce | Pack of 1,${env.abxlab_url}paleo-grain-free-granola-bubbas-fine-foods-bourbon-vanilla-gluten-free-breakfast-cereal-6-ounce-pack-of-1.html,15.2,83.0,12,"Seitenbacher Organic Muesli Choco Coconut Natural Cereal, 16 Ounce",${env.abxlab_url}seitenbacher-organic-muesli-choco-coconut-natural-cereal-16-ounce.html,12.99,80.0,5,Enerem Ijebu Gari / Nigerian Garri / Crispy Nigerian Ijebu Gari 5lb,${env.abxlab_url}enerem-ijebu-gari-nigerian-garri-crispy-nigerian-ijebu-gari-5lb.html,18.99,80.0,4,0.17013086989992293,3.0,0.24934210526315784,3.0
Yogurt,"Light and Fit Multipack Peach Strawberry Yogurt, 4 Ounce -- 24 per case.",${env.abxlab_url}light-and-fit-multipack-peach-strawberry-yogurt-4-ounce-24-per-case.html,52.9,90.0,4,"FAGE Total Greek Yogurt, 2% Reduced Fat, Plain, 32 oz",${env.abxlab_url}fage-total-greek-yogurt-2-reduced-fat-plain-32-oz.html,45.53,87.0,12,"Activia Probiotic Lowfat Yogurt, Black Cherry, Non-GMO Project Verified, 4 oz., 4 Pack",${env.abxlab_url}activia-probiotic-lowfat-yogurt-black-cherry-non-gmo-project-verified-4-oz-4-pack.html,60.23,87.0,12,0.16187129365253672,3.0,0.13856332703213609,3.0
Cheese,"365 by Whole Foods Market Shaved Italian Cheese Blend, 5 Ounce",${env.abxlab_url}365-by-whole-foods-market-shaved-italian-cheese-blend-5-ounce.html,44.36,96.0,9,Yancey's Fancy Cheddar with Finger Lakes Champagne (7.6 ounce),${env.abxlab_url}yancey-s-fancy-cheddar-with-finger-lakes-champagne-7-6-ounce.html,40.11,88.0,13,Kraft Finely Shredded Natural Parmesan Shredded Cheese (6 oz Pouch),${env.abxlab_url}kraft-finely-shredded-natural-parmesan-shredded-cheese-6-oz-pouch.html,46.52,92.0,12,0.10595861381201696,8.0,0.04869251577998205,4.0
Cookies,Trader Joe's- Joe Joe's Sandwich Cookie Variety Pack (2 Flavors),${env.abxlab_url}trader-joe-s-joe-joe-s-sandwich-cookie-variety-pack-2-flavors.html,18.64,73.0,3,"OREO Mini Golden Sandwich Cookies, Vanilla Flavor, 12 Big Bags",${env.abxlab_url}oreo-mini-golden-sandwich-cookies-vanilla-flavor-12-big-bags.html,15.41,70.0,10,Mulino Bianco Abbracci Cookies 12.3 oz each (2 Items Per Order),${env.abxlab_url}mulino-bianco-abbracci-cookies-12-3-oz-each-2-items-per-order.html,22.0,71.0,9,0.20960415314730696,3.0,0.18025751072961368,2.0
Cookies,Cameo Creme Sandwiches Cookies (Pack of 3),${env.abxlab_url}cameo-creme-sandwiches-cookies-pack-of-3.html,22.49,87.0,12,"Keebler Chips Deluxe Rainbow Mini Cookies & Mother's Circus Animal Cookies, 24Count",${env.abxlab_url}keebler-chips-deluxe-rainbow-mini-cookies-mother-s-circus-animal-cookies-24count.html,18.59,84.0,10,"Korean snack box variety pack assorted Individual Wrapped snacks - chips, cookies, candy, kimchi ramen noodle, cookies, pies, for kids, children, college, adult, birthday",${env.abxlab_url}korean-snack-box-variety-pack-assorted-individual-wrapped-snacks-chips-cookies-candy-kimchi-ramen-noodle-cookies-pies-for-kids-children-college-adult-birthday.html,25.99,85.0,12,0.2097902097902097,3.0,0.15562472209871056,2.0
Digital Cameras,"Nikon intl Nikon D5600 DSLR Camera Kit with 18-55mm VR Lens | Built-in Wi-Fi | 24.2 MP CMOS Sensor | Bundle Includes: 2X SanDisk 64GB Memory Card, Bag, Tripods, Filters, and More",${env.abxlab_url}nikon-intl-nikon-d5600-dslr-camera-kit-with-18-55mm-vr-lens-built-in-wi-fi-24-2-mp-cmos-sensor-bundle-includes-2x-sandisk-64gb-memory-card-bag-tripods-filters-and-more.html,979.98,80.0,1,Sony Alpha a6000 Camera with 55-210mm and 16-50mm Power Zoom Lenses - Includes Camera with 16-50mm Power Zoom Lens and 55-210mm Zoom Lens (Silver),${env.abxlab_url}sony-alpha-a6000-camera-with-55-210mm-and-16-50mm-power-zoom-lenses-includes-camera-with-16-50mm-power-zoom-lens-and-55-210mm-zoom-lens-silver.html,899.0,73.0,3,Canon 90D Digital SLR Camera [Body Only] (Renewed),${env.abxlab_url}canon-90d-digital-slr-camera-body-only-renewed.html,1220.0,76.0,9,0.09007786429365965,7.0,0.24492336578297513,4.0
Artificial Plants & Flowers,FEPITO 16 Pcs Random Size Artificial Succulent Plants Unpotted Succulents Picks Faux Succulent Plant in Green Stems for Home Indoor Garden Decoration,${env.abxlab_url}fepito-16-pcs-random-size-artificial-succulent-plants-unpotted-succulents-picks-faux-succulent-plant-in-green-stems-for-home-indoor-garden-decoration.html,17.78,88.0,12,"Blingstar Artificial Flowers, Tall Floor Fake Plants, 2 Pack Plastic Chrysanthemum with Rattan Baskets, Large Faux Potted Plants for House Office Room Party Indoor Decor, Installation Size: 9x9x23.6In",${env.abxlab_url}blingstar-artificial-flowers-tall-floor-fake-plants-2-pack-plastic-chrysanthemum-with-rattan-baskets-large-faux-potted-plants-for-house-office-room-party-indoor-decor-installation-size-9x9x23-6in.html,15.99,80.0,12,TOPHOUSE 6pcs Artificial Eucalyptus Leaves Stems Bulk 24.8” Silver Dollar Eucalyptus Artificial Greenery Silk Eucalyptus Plant for Home Wedding Farmhouse Decoration,${env.abxlab_url}tophouse-6pcs-artificial-eucalyptus-leaves-stems-bulk-24-8-silver-dollar-eucalyptus-artificial-greenery-silk-eucalyptus-plant-for-home-wedding-farmhouse-decoration.html,19.99,83.0,12,0.11194496560350224,8.0,0.12429696287963989,5.0
Chocolate,"Red Bird Cotton Candy Puffs, 30 oz bag | Made w/100% Pure Cane Sugar | Melt-in-Your-Mouth Candy | Allergen-Free, Gluten-Free, Kosher and Individually Wrapped",${env.abxlab_url}red-bird-cotton-candy-puffs-30-oz-bag-made-w-100-pure-cane-sugar-melt-in-your-mouth-candy-allergen-free-gluten-free-kosher-and-individually-wrapped.html,17.89,73.0,12,"GO RAW Organic Live Flax Bar Case, 0.42 OZ (Packaging May Vary)",${env.abxlab_url}go-raw-organic-live-flax-bar-case-0-42-oz-packaging-may-vary.html,14.98,65.0,16,"R.M Palmer Love Expression, Bulk Bag, Assortment of Emoji faces, Snapchat, Fudge filled Chocolaty Candies, Valentine’s Day Treats (2 lbs.)",${env.abxlab_url}r-m-palmer-love-expression-bulk-bag-assortment-of-emoji-faces-snapchat-fudge-filled-chocolaty-candies-valentine-s-day-treats-2-lbs.html,19.99,70.0,2,0.19425901201602136,8.0,0.1173840134153157,3.0
Cookies,"MOTIV Keto Cookies - Double Chocolate Chip 3-Pack - Low Carb Snacks - Keto Mini Cookies- No Sugar Added Healthy Snack Foods - Grain & Gluten Free Dessert Food - Paleo, Ketogenic, Diabetic Diet Friendly Sweets - Cookie Treat",${env.abxlab_url}motiv-keto-cookies-double-chocolate-chip-3-pack-low-carb-snacks-keto-mini-cookies-no-sugar-added-healthy-snack-foods-grain-gluten-free-dessert-food-paleo-ketogenic-diabetic-diet-friendly-sweets-cookie-treat.html,13.96,82.0,12,Arnotts Shapes Vegemite 165g,${env.abxlab_url}arnotts-shapes-vegemite-165g.html,12.95,78.0,12,Harry & David Dark Chocolate Wafer Rolls 10 oz,${env.abxlab_url}harry-david-dark-chocolate-wafer-rolls-10-oz.html,15.95,80.0,3,0.07799227799227812,4.0,0.14255014326647553,2.0
Toothpaste,Crest Complete Cinnamon Rush 5.4 Ounce (3 Pack),${env.abxlab_url}crest-complete-cinnamon-rush-5-4-ounce-3-pack.html,18.15,85.0,12,"Xlear Spry Spearmint Fluoride Toothpaste, 4 oz , (Pack of 2)",${env.abxlab_url}xlear-spry-spearmint-fluoride-toothpaste-4-oz-pack-of-2.html,14.99,83.0,12,intelliWHiTE PRO White Toothpaste w/Fluoride and Xylitol - 4 oz,${env.abxlab_url}intelliwhite-pro-white-toothpaste-w-fluoride-and-xylitol-4-oz.html,19.95,83.0,12,0.21080720480320203,2.0,0.09917355371900831,2.0
Toothpaste,Crest Baking Soda And Peroxide Whitening With Tartar Protection Fresh Mint Flavor Toothpaste 8.2 Oz (Pack of 6),${env.abxlab_url}crest-baking-soda-and-peroxide-whitening-with-tartar-protection-fresh-mint-flavor-toothpaste-8-2-oz-pack-of-6.html,26.04,85.0,12,"Natural Dentist All-In-One Toothpaste, Peppermint,5 Ounces (Pack of 3)",${env.abxlab_url}natural-dentist-all-in-one-toothpaste-peppermint-5-ounces-pack-of-3.html,22.19,77.0,12,"Arm & Hammer PeroxiCare Healthy Gums Toothpaste, Baking Soda & Peroxide, Fresh Mint, 6 Ounce (Pack of 3)",${env.abxlab_url}arm-hammer-peroxicare-healthy-gums-toothpaste-baking-soda-peroxide-fresh-mint-6-ounce-pack-of-3.html,28.76,82.0,11,0.17350157728706614,8.0,0.10445468509984648,3.0
Deodorants & Antiperspirants,Nivea For Men Invisible Power Anti-Perspirant Spray 150ML (6 Pack),${env.abxlab_url}nivea-for-men-invisible-power-anti-perspirant-spray-150ml-6-pack.html,20.54,93.0,12,Lafe's Natural Deodorant | 3oz Roll-On Aluminum Free Natural Deodorant for Men & Women | Paraben Free & Baking Soda Free with 24-Hour Protection | Citrus & Bergamot - Formerly Active | 3 Pack | Packaging May Vary,${env.abxlab_url}lafe-s-natural-deodorant-3oz-roll-on-aluminum-free-natural-deodorant-for-men-women-paraben-free-baking-soda-free-with-24-hour-protection-citrus-bergamot-formerly-active-3-pack-packaging-may-vary.html,18.99,90.0,8,6 Pack Dove Men + Care Elements Mineral Talc Sandalwood Antiperspirant Spray 150ml,${env.abxlab_url}6-pack-dove-men-care-elements-mineral-talc-sandalwood-antiperspirant-spray-150ml.html,23.59,90.0,2,0.08162190626645607,3.0,0.1484907497565726,3.0
Chocolate,"Snickers, Crunchy Peanut Butter Squared Fun Size Chocolate Candy Bars Bag, 11.5 oz",${env.abxlab_url}snickers-crunchy-peanut-butter-squared-fun-size-chocolate-candy-bars-bag-11-5-oz.html,9.99,75.0,12,"Sugar Free Reese's Miniature Peanut Butter Cups, 3oz - Pack of 2",${env.abxlab_url}sugar-free-reese-s-miniature-peanut-butter-cups-3oz-pack-of-2.html,9.16,70.0,12,"Little Secrets Crispy Wafers, Sea Salt Flavor, Gourmet Dark Chocolate Candy, All Natural, Fair Trade Certified, No Artificial Dyes, Healthy Snacks and Treats, No Corn Syrup, (3.5oz Snack Size)",${env.abxlab_url}little-secrets-crispy-wafers-sea-salt-flavor-gourmet-dark-chocolate-candy-all-natural-fair-trade-certified-no-artificial-dyes-healthy-snacks-and-treats-no-corn-syrup-3-5oz-snack-size.html,10.68,72.0,12,0.0906113537117904,5.0,0.06906906906906901,3.0
Chocolate,Candy Retailer Speckled Chocolate Covered Almonds 1 Lb,${env.abxlab_url}candy-retailer-speckled-chocolate-covered-almonds-1-lb.html,14.95,87.0,3,"Elite, Megadim, Pesek Zman Mini Milk Chocolate Bars, 14.1 oz Family Pack",${env.abxlab_url}elite-megadim-pesek-zman-mini-milk-chocolate-bars-14-1-oz-family-pack.html,13.49,85.0,11,Candied Fruit - 1 Lb Tub (Cherry Pineapple),${env.abxlab_url}candied-fruit-1-lb-tub-cherry-pineapple.html,17.99,85.0,12,0.1082283172720533,2.0,0.20334448160535112,2.0
Cookies,"Chips Ahoy! Chunky White Fudge Chocolate Chip Cookies, 1 Pack (11.75 oz.), 11.75 oz",${env.abxlab_url}chips-ahoy-chunky-white-fudge-chocolate-chip-cookies-1-pack-11-75-oz-11-75-oz.html,25.67,73.0,4,Mulino Bianco Abbracci Cookies 12.3 oz each (2 Items Per Order),${env.abxlab_url}mulino-bianco-abbracci-cookies-12-3-oz-each-2-items-per-order.html,22.0,71.0,9,"Carr's, English Tea Cookies, Ginger Lemon Cremes, Non-GMO Project Verified, 7.05oz Box(Pack of 8)",${env.abxlab_url}carr-s-english-tea-cookies-ginger-lemon-cremes-non-gmo-project-verified-7-05oz-box-pack-of-8.html,31.12,71.0,11,0.1668181818181819,2.0,0.21231008959875336,2.0
Speakers,Sonos Bridege for Sonos Wireless Network (Discontinued by Manufacturer),${env.abxlab_url}sonos-bridege-for-sonos-wireless-network-discontinued-by-manufacturer.html,37.9,77.0,12,Klipsch R-20B Bluetooth Soundbar with Wireless Subwoofer (Satin Black),${env.abxlab_url}klipsch-r-20b-bluetooth-soundbar-with-wireless-subwoofer-satin-black.html,34.56,70.0,12,"32-Inch TV Sound Bars,Lvssci Sound Bars for TV,Home Audio TV Speakers with Bluetooth 5.0 HDMI/Optical/Coaxial/AUX/RCA (Wall Mountable, Remote Control)",${env.abxlab_url}32-inch-tv-sound-bars-lvssci-sound-bars-for-tv-home-audio-tv-speakers-with-bluetooth-5-0-hdmi-optical-coaxial-aux-rca-wall-mountable-remote-control.html,45.09,70.0,12,0.0966435185185184,7.0,0.18970976253298166,7.0
Chocolate,"Hershey's Chocolate Candy Assortment, 35 Ounce",${env.abxlab_url}hershey-s-chocolate-candy-assortment-35-ounce.html,22.9,68.0,8,"HERSHEY'S DROPS Chocolate Candy, Cookies 'N' Crème, 200 Gram",${env.abxlab_url}hershey-s-drops-chocolate-candy-cookies-n-creme-200-gram.html,18.99,60.0,3,No Bake Cookie Peanut Butter 32 Count Basket,${env.abxlab_url}no-bake-cookie-peanut-butter-32-count-basket.html,26.5,65.0,12,0.20589784096893105,8.0,0.15720524017467255,3.0
Chocolate,Ritter Sport Marzipan Dark Chocolate Bar Candy Original German Chocolate 100g/3.52oz (Pack of 2),${env.abxlab_url}ritter-sport-marzipan-dark-chocolate-bar-candy-original-german-chocolate-100g-3-52oz-pack-of-2.html,8.43,75.0,12,"Green & Black's Organic Dark Chocolate Bar, 85% Cacao, Valentines Day Chocolate Candy, 3.17 oz",${env.abxlab_url}green-black-s-organic-dark-chocolate-bar-85-cacao-valentines-day-chocolate-candy-3-17-oz.html,7.94,68.0,12,"HU KITCHEN Chocolate Covered Cashews, 4 OZ",${env.abxlab_url}hu-kitchen-chocolate-covered-cashews-4-oz.html,9.89,73.0,45,0.061712846347606966,7.0,0.17319098457888504,2.0
Chocolate,"Krunchy Keto Bar - 2g Net Carb Coconut 1.23 oz (35 gr), 15 Count Box - No Added Sugar - Keto Friendly Snacks",${env.abxlab_url}krunchy-keto-bar-2g-net-carb-coconut-1-23-oz-35-gr-15-count-box-no-added-sugar-keto-friendly-snacks.html,29.99,83.0,12,"KIT KAT Milk Chocolate Wafer Candy Bars, Easter, 1.5 oz Bulk Box (36 Count)",${env.abxlab_url}kit-kat-milk-chocolate-wafer-candy-bars-easter-1-5-oz-bulk-box-36-count.html,25.99,77.0,12,"HERSHEY'S Nuggets Assortment, Holiday Chocolate Candy Gift, 52 Ounce Bag",${env.abxlab_url}hershey-s-nuggets-assortment-holiday-chocolate-candy-gift-52-ounce-bag.html,32.67,78.0,12,0.15390534821085033,6.0,0.0893631210403469,5.0
Chocolate,"Toblerone Swiss Dark Chocolate with Honey & Almond Nougat, Easter Chocolate, 20 – 3.52 oz Bars",${env.abxlab_url}toblerone-swiss-dark-chocolate-with-honey-almond-nougat-easter-chocolate-20-3-52-oz-bars.html,46.99,75.0,12,"HERSHEY'S KISSES White Foils Milk Chocolate Candy, Bulk, 66.7 oz Bulk Bag (400 Pieces)",${env.abxlab_url}hershey-s-kisses-white-foils-milk-chocolate-candy-bulk-66-7-oz-bulk-bag-400-pieces.html,39.38,67.0,11,"Little Secrets Crispy Wafers, Sea Salt Flavor, Gourmet Dark Chocolate Candy, All Natural, Fair Trade Certified, No Artificial Dyes, Healthy Snacks and Treats, No Corn Syrup, (1.4oz)",${env.abxlab_url}little-secrets-crispy-wafers-sea-salt-flavor-gourmet-dark-chocolate-candy-all-natural-fair-trade-certified-no-artificial-dyes-healthy-snacks-and-treats-no-corn-syrup-1-4oz.html,53.92,73.0,12,0.19324530218384964,8.0,0.14747818684826558,2.0
Cheese,"Organic Valley Organic Thick Cut Shredded Mozzarella Cheese, 6 oz",${env.abxlab_url}organic-valley-organic-thick-cut-shredded-mozzarella-cheese-6-oz.html,43.13,80.0,12,"Comte French Aged Cheese, Sold by the Pound",${env.abxlab_url}comte-french-aged-cheese-sold-by-the-pound.html,39.99,78.0,12,WSU Wazzu Creamery Natural Cheddar Cheese 30 Oz,${env.abxlab_url}wsu-wazzu-creamery-natural-cheddar-cheese-30-oz.html,48.96,78.0,12,0.07851962990747688,2.0,0.13517273359610474,2.0
Cheese,"French Cow Milk Cheese, Comte AOC - 1 lb",${env.abxlab_url}french-cow-milk-cheese-comte-aoc-1-lb.html,36.45,80.0,4,"Norseland Jarlsberg Loaf, 7.36 Ounce (Pack of 1)",${env.abxlab_url}norseland-jarlsberg-loaf-7-36-ounce-pack-of-1.html,34.38,78.0,12,igourmet Manchego DOP - 2 Pound Club Cut (2 pound),${env.abxlab_url}igourmet-manchego-dop-2-pound-club-cut-2-pound.html,39.98,78.0,12,0.060209424083769635,2.0,0.09684499314128926,2.0
Speakers,Klipsch RP-400M Reference Premiere Bookshelf Speakers - Pair (Ebony),${env.abxlab_url}klipsch-rp-400m-reference-premiere-bookshelf-speakers-pair-ebony.html,399.0,88.0,12,Edifier S1000MKII Audiophile Active Bookshelf 2.0 Speakers - 120w Speakers Bluetooth 5.0 with aptX HD - Optical Input - S1000MK2 Powered Near-Field Monitor Speaker with Class D Amp,${env.abxlab_url}edifier-s1000mkii-audiophile-active-bookshelf-2-0-speakers-120w-speakers-bluetooth-5-0-with-aptx-hd-optical-input-s1000mk2-powered-near-field-monitor-speaker-with-class-d-amp.html,349.99,82.0,12,"ELAC Uni-Fi 2.0 UC52 Center Speaker (Each), Black (UC52-BK)",${env.abxlab_url}elac-uni-fi-2-0-uc52-center-speaker-each-black-uc52-bk.html,459.98,84.0,11,0.14003257235921024,6.0,0.1528320802005013,4.0
Cookies,Butter Pecan Meltaways 20oz,${env.abxlab_url}butter-pecan-meltaways-20oz.html,27.99,80.0,8,"Gusta USDA Organic Biscotti Cookies Made in Tuscany, Italy - Classic Almond - Individually Wrapped Two Bites Size - All Natural Ingredients - Fresh & Genuine Italian Dessert Treats - 13.76oz",${env.abxlab_url}gusta-usda-organic-biscotti-cookies-made-in-tuscany-italy-classic-almond-individually-wrapped-two-bites-size-all-natural-ingredients-fresh-genuine-italian-dessert-treats-13-76oz.html,23.0,76.0,11,"Walkers W116 Shortbread Cookies, 2/Pack, 24 Packs/Box",${env.abxlab_url}walkers-w116-shortbread-cookies-2-pack-24-packs-box.html,33.4,78.0,8,0.21695652173913035,4.0,0.19328331546981067,2.0
Cheese,Kraft Grated Parmesan Cheese-24 oz,${env.abxlab_url}kraft-grated-parmesan-cheese-24-oz.html,27.3,67.0,3,"Tita Italian Brie Truffle Cream, Aromatic Truffles, Black Truffle Cream Sauce, Healthy [Calcium, Vitamin B12, Riboflavin], Flavourful, Creamy Texture, Net Quantity: 3.1 Ounces/ 207 Grams",${env.abxlab_url}tita-italian-brie-truffle-cream-aromatic-truffles-black-truffle-cream-sauce-healthy-calcium-vitamin-b12-riboflavin-flavourful-creamy-texture-net-quantity-3-1-ounces-207-grams.html,23.5,60.0,1,"WISCONSIN CHEESE COMPANY'S - Fresh Healthy String Cheese Block Snacks. (2 Pack, 1.5lbs), Famous Wisconsin String Cheese, a healthy snack. Best String Cheese From Wisconsin.",${env.abxlab_url}wisconsin-cheese-company-s-fresh-healthy-string-cheese-block-snacks-2-pack-1-5lbs-famous-wisconsin-string-cheese-a-healthy-snack-best-string-cheese-from-wisconsin.html,29.99,60.0,1,0.1617021276595745,7.0,0.09853479853479845,7.0
Cheese,"La Bonne Vie Goat Cheese with Garlic and Herbs, 4 Ounce",${env.abxlab_url}la-bonne-vie-goat-cheese-with-garlic-and-herbs-4-ounce.html,44.56,80.0,12,"Comte French Aged Cheese, Sold by the Pound",${env.abxlab_url}comte-french-aged-cheese-sold-by-the-pound.html,39.99,78.0,12,WSU Wazzu Creamery Natural Cheddar Cheese 30 Oz,${env.abxlab_url}wsu-wazzu-creamery-natural-cheddar-cheese-30-oz.html,48.96,78.0,12,0.11427856964241061,2.0,0.0987432675044883,2.0
